bike_station_id,fsq_id,venue_name,category,address,distance,price,rating,total_ratings
7799,4ad79ddff964a520d40c21e3,Keys On Main,Piano Bar,242 S Main St,522.0,2.0,7.1,67
7799,5bd8b097dee7700039b5edc0,Christopher's Prime Tavern & Grill,Dining and Drinking,110 W Broadway,526.0,,,
7799,5bc949fadd8442002c632f26,Sonoma Grill & Wine Bar,Wine Bar,110 W Broadway,529.0,2.0,5.9,11
7799,1fc31311cc3049c3cc70569b,The Tavernacle Social Club,Bar,50 W Broadway,534.0,,,
7799,5063bc89e4b0f8bfa6c9d79d,Zest Kitchen & Bar,Cocktail Bar,275 S 200 W,542.0,2.0,8.3,121
7799,52cd757b11d2a691812f9417,Paint Nite,Bar,275 S 200 W,550.0,2.0,,
7799,5702fab5cd101dfb3d9e3d9d,Good Grammar,Cocktail Bar,69 E Gallivan Ave,604.0,3.0,7.4,17
7799,4ae7198ef964a52067a821e3,Squatters Pub Brewery,Bar,147 W Broadway,607.0,2.0,8.7,757
7799,4ae0f334f964a520f98321e3,Gracie's,Sports Bar,326 S West Temple,645.0,2.0,7.2,259
7799,4f32cfb619836c91c7fd4bc4,Club Naked,Gay Bar,326 S West Temple,645.0,2.0,,
7799,5c8bf822f96b2c002c3da817,George,Wine Bar,327 W 200 S,663.0,,,
7799,4aef5edff964a520edd721e3,Cheers To You,Dive Bar,315 S Main St,681.0,1.0,7.1,54
7799,4ad4f28ef964a5201ffd20e3,Junior's Tavern,Pub,30 E Broadway,682.0,1.0,7.1,34
7799,5b529687c824ae002c63ee9a,London Belle,Pub,321 S Main St,688.0,1.0,7.0,9
7799,4c8c4faef87e224b85203405,Mo's Bar And Grill,Sports Bar,400 S West Temple,691.0,1.0,,
7799,4b6e46e6f964a520c6b52ce3,Market Street Oyster Bar,Bar,54 W Market St,693.0,3.0,7.8,59
7799,528954aa11d27852674d0669,Whiskey Street,Cocktail Bar,323 S Main St,703.0,2.0,8.6,270
7799,51bd2b08498eecb520c6fed5,Bodega,Cocktail Bar,331 S Main St,711.0,2.0,8.1,51
7799,51cb98c8498ed6ec740c065e,The Rest,Cocktail Bar,331 S Main St,713.0,3.0,8.5,51
7799,4bdbc82b63c5c9b6f4ab2968,Bar X,Night Club,155 E 200 S,727.0,2.0,7.6,154
7799,5151339aabaca38f4e792edf,Beer Bar,Bar,161 E 200 S,735.0,,,
7799,532b9ee611d29cb042b0af32,Beer Bar,Beer Bar,74 S Main St,737.0,2.0,8.8,166
7799,9ec667c2e18a46e934b4c010,Mortar & Pestle,Lounge,152 E 200 S,742.0,,,
7799,65ccf7c6408b41510b8cb2ed,Mortar & Pestle Bar,Cocktail Bar,152 E 200 S,742.0,,,
7799,4afe3197f964a520a72e22e3,Johnny's On Second,Night Club,165 E 200 S,744.0,1.0,6.1,38
7799,4e0249b81838cb6a1ad0d4b3,Maxwell's East Coast Eatery,Sports Bar,357 S Main St,763.0,2.0,7.4,138
7799,4b789e87f964a5207ada2ee3,Fleming's Prime Steakhouse & Wine Bar,Wine Bar,20 S 400 W,771.0,4.0,7.7,83
7799,62e439462b90dc3b9c90e693,Franklin Ave,New American Restaurant,231 S Edison St,777.0,3.0,,
7772,533cb88411d29ed01acc4b8f,The Century Club,Night Club,315 24th St,46.0,2.0,,
7772,5468fd90498e9e5bff97a22b,The Barrelhouse,Bar,315 24th St,61.0,2.0,,
7772,4d6f0b24359937041723089d,The Hog-Den,Bar,,120.0,2.0,,
7772,4edff1f6754ad33b5bbe0caf,Rocks Lounge,Bar,247 24th St,154.0,1.0,,
7772,9a5a89133c66468a004ac1e4,UTOG Brewing,Bar,2331 Grant Ave,167.0,,,
7772,4b76265cf964a52029402ee3,The City Club,Bar,264 25th St,205.0,2.0,7.7,25
7772,4b4e872af964a52096f026e3,Brewski's,Night Club,244 25th St,214.0,1.0,6.3,41
7772,52f65bfe38b182419b7f0641,Beatnik's,Arts and Entertainment,240 25th St,237.0,,,
7772,4b6ce41bf964a520ec5b2ce3,Roosters 25th St Brewing Co.,Bar,253 25th St,251.0,2.0,7.8,114
7772,4b9bf9d7f964a520903c36e3,Kokomo Club,Night Club,216 25th St,270.0,2.0,5.9,11
7772,5deed7e1f93ca900078d25bc,The Underground At Zucca,Speakeasy,225 25th St,300.0,2.0,,
7772,4f32bd7119836c91c7f54870,Secret Garden,Bar,2336 Washington Blvd,308.0,,,
7772,58ea8c3e04f4d7087cc7b1cd,Bigelow Grill,Bar,2510 Washington Blvd,325.0,2.0,,
7772,518c7b9e498e7f98884efa1b,Alleged,Night Club,201 25th St,329.0,3.0,6.6,21
7772,4e13a39445dd91b5f7285522,Champzz Sports Bar,Sports Bar,2251 Kiesel Ave,333.0,1.0,,
7772,4f32716b19836c91c7d84e68,Club Esquire,Organization,2510 Washington Blvd,364.0,2.0,,
7772,4e7d6414b8f724f0c25c7ea9,Lamplite Lounge,Dive Bar,455 24th St,369.0,1.0,,
7772,5dc596f9950179000816acaf,Archie's at the Bigelow Hotel,Bar,2510 Washington Blvd,370.0,,,
7772,56ab593c498eb92a14338c96,Historic Place,Night Club,162 25th St,380.0,2.0,,
7772,4d5e0e3414963704d108c594,Lighthouse Sports Bar,Sports Bar,175 25th St,401.0,1.0,7.3,8
7772,553f4d9f498e1e1fe7e34646,Funk 'n Dive,Dive Bar,2550 Washington Blvd,430.0,2.0,6.7,13
7772,f7efe331d3b5479200160dae,Top Shelf Sports Bar,Sports Bar,130 25th St,433.0,1.0,,
7772,4bb661882ea195219b94ab2f,Lighthouse Lounge,Cocktail Bar,130 25th St,434.0,,,
7772,588fd70afc5a5f18a3ce7db0,Harp And Hound,Pub,2550 Washington Blvd,436.0,1.0,6.5,14
7772,5e5858f82322cc0008c96a61,WB’s Eatery,Bar,455 25th St,476.0,1.0,,
7772,5972c026f96b2c0320c4072a,The Angry Goat Pub & Kitchen,Beer Bar,2570 Washington Blvd,482.0,,,
7772,4afe3465f964a520ba2e22e3,Kamikazes,Whisky Bar,2404 Adams Ave,492.0,3.0,7.5,13
7772,59c20e9135f9837e08f6455b,Social Axe Throwing Ogden,Bar,2581 Lincoln Ave,500.0,2.0,,
7772,4f32cff819836c91c7fd6a0f,Jazz at the Station,Bar,2501 Wall Ave,574.0,2.0,,
7772,4f325f5919836c91c7d15525,Troc Lounge & Grill,Bar,352 27TH St,627.0,,,
7772,4c53a3b130f92d7fddcc1cb9,Club Wet,Bar,2700 S 1900 W,651.0,2.0,,
7772,4f32c7fe19836c91c7f9ec5c,Brass Rail,Night Club,103 27th St,848.0,,,
7772,4f32ca2419836c91c7fadfbd,Browns Billiards & Sports Bar,Bar,2701 Wall Ave,852.0,2.0,,
4530,4c9a765f7421b7132df7fe13,The Complex,Concert Hall,536 W 100 S,137.0,,6.0,104
4530,5d58a02f6137a90007670d0c,Seabird,Cocktail Bar,11 S Rio Grande St,148.0,3.0,,
4530,4f32be6519836c91c7f5b595,Club Axis,Night Club,108 S 500 W,169.0,2.0,,
4530,4b789e87f964a5207ada2ee3,Fleming's Prime Steakhouse & Wine Bar,Wine Bar,20 S 400 W,173.0,4.0,7.7,83
4530,7260458cffc04736d72de232,Flanker Kitchen + Sporting Club,Karaoke Bar,6 N Rio Grande St,215.0,2.0,,
4530,5e01110a88607d0008f0ca31,Beer Zombies Bar SLC,Bar,153 S Rio Grande St,237.0,2.0,,
4530,a5f0b5ebef9e445055e455be,Beer Zombies,Night Club,153 S Rio Grande St,237.0,,,
4530,52f6fe8c11d2260115d77794,The Sun Trapp,Gay Bar,102 S 600 W,319.0,2.0,7.6,49
4530,4e6d317a88776961e588e0e6,Bout Time Pub & Grub,Sports Bar,169 S Rio Grande St,321.0,2.0,6.0,47
4530,4f1ba383e4b0850c847718a6,Mixx,Night Club,615 W 100 S,348.0,2.0,,
4530,59cd9f986bd36b50c15b05b7,Metro Music Hall,Rock Club,615 W 100 S,350.0,,,
4530,4d3e2c1e6b3d236abd6e7064,Metro Bar,Night Club,540 W 200 S,352.0,,5.9,30
4530,2412913118be4d8378b9ba3a,Gossip Slc,Night Club,579 W 200 S,452.0,,,
4530,c05fd272a6d2431b5e7536d2,Bottoms Up,Bar,579 W 200 S,464.0,,,
4530,4bbc2776afe1b7135f24304b,In The Venue,Music Venue,579 W 200 S,466.0,,7.2,66
4530,5c8bf822f96b2c002c3da817,George,Wine Bar,327 W 200 S,552.0,,,
4530,6412642447271a0f7fba5411,Van Ryder,Rooftop Bar,131 S 300 W,556.0,,,
4530,4d3e2a14a2e4b1f714acf825,The Bar Inside The Radisson,Hotel Bar,215 W South Temple,618.0,3.0,,
4530,4c8f8d934e95236ac4f784ca,Copper Canyon Grill House & Tavern,Hotel Bar,215 W South Temple,626.0,2.0,5.9,24
4530,5f5d728daf65ef27d8829a70,Carson Kitchen,Cocktail Bar,241 W 200 S,710.0,2.0,,
4530,4ae3d9ddf964a520509921e3,Poplar Street Pub,Karaoke Bar,242 S 200 W,819.0,2.0,7.3,144
4530,580faff338facf4e2cdf21b1,Patrick's Pub,Beer Bar,163 W 200 S,878.0,2.0,,
4530,58c8a033d243323eaf8cc6ff,Lake Effect,Cocktail Bar,155 W 200 S,886.0,2.0,8.7,68
4530,5b17913ff427de002bcb4eb5,Soundwell SLC,Music Venue,149 W 200 S,903.0,,,
4530,4c75ff01c219224b973da428,Elevate,Night Club,155 W 200 S,905.0,,5.7,30
4530,5063bc89e4b0f8bfa6c9d79d,Zest Kitchen & Bar,Cocktail Bar,275 S 200 W,927.0,2.0,8.3,121
4530,4e0b66506284a62b5bc10ae9,Wine Bar At Baci,Wine Bar,140 W Pierpont Ave,938.0,2.0,,
4530,52cd757b11d2a691812f9417,Paint Nite,Bar,275 S 200 W,939.0,2.0,,
4530,9491aaa48474b1837a458475,Trellis,Music Venue,149 W Pierpont Ave,959.0,,,
4530,4ad4f290f964a520c8fd20e3,Baci Trattoria,Bar,134 W Pierpont Ave,964.0,2.0,,
4530,5d858ffab4965100086a4dc9,Golden Axe Throwin,Bar,145 W Pierpont Ave,966.0,2.0,,
